"q_num","q_varname","q_type","q_group","q_description","q_detail"
1,"id","meta","One","Identification #","Identification #"
2,"gender","num","Two","What is your gender?","What is your gender?"
3,"age","ordered","Three","What is your Age?","What is your Age?"
4,"agree1","ordered","Four","To what extent do you agree with the following statements?","Cheese is good."
5,"agree2","ordered","Four","To what extent do you agree with the following statements?","Bananas are bad."
6,"agree3","ordered","Four","To what extent do you agree with the following statements?","Apples are dumb."
7,"often1","ordered","Five","How often do you do each of the following?","Eat pizza over the sink like a rat."
8,"often2","open","Five","How often do you do each of the following?","Cry."
9,"open1","open","Six","Tell me how you feel?","Tell me how you feel?"
10,"open2","other_factor","Six","What do you think?","What do you think?"
11,"other","multi","Seven","Select an option or write in something else","Select an option or write in something else"
12,"multi","factor","Eight","Choose all that apply.","Choose all that apply."
